#{"t_start": 1598502398.0228744, "env_id": "openDSS-v0"}
r,l,t
-3724.452966,1,66.084193
-856.198501,1,66.184921
-2265.993617,1,66.252739
-80.342598,1,66.316402
-958.267002,1,66.377245
-2589.054255,1,66.438082
-1271.614007,1,66.498959
-1199.576633,1,66.553807
-4524.407856,1,66.607633
-3670.250693,1,66.661494
-5102.084177,1,66.715375
-942.420513,1,66.769197
-3706.985971,1,66.824051
-3681.84241,1,66.874947
-14150.164852,1,66.925778
-340.338941,1,66.97764
-17422.020718,1,67.0305
-3286.759788,1,67.080398
-5102.550853,1,67.131229
-18314.82299,1,67.181096
-21891.173399,1,67.230963
-9573.79227,1,67.284818
-3382.551621,1,67.3287
-3074.48116,1,67.376571
-4813.22539,1,67.428434
-3536.529706,1,67.478302
-994.494962,1,67.525176
-5846.145344,1,67.570055
-10276.03277,1,67.610947
-6043.91863,1,67.652833
-30384.417464,1,67.693745
-2728.182247,1,67.741596
-494.243097,1,67.787474
-3990.332977,1,67.839335
-1914.45218,1,67.891198
-8658.10578,1,67.93907
-7397.947999,1,67.987938
-5773.953599,1,68.036807
-961.113503,1,68.083684
-9833.873552,1,68.12956
-1696.911422,1,68.176434
-8380.459732,1,68.228296
-1817.750862,1,68.277185
-2634.514404,1,68.324038
-681.41378,1,68.365963
-818.734076,1,68.411805
-6742.058721,1,68.457683
-14513.782071,1,68.504557
-2546.071918,1,68.552461
-6632.005703,1,68.607284
-272.409639,1,68.690064
-255.974936,1,68.791791
-5188.913786,1,68.91446
-24735.262498,1,69.033591
-1188.984114,1,69.132327
-10204.716813,1,69.205132
-5968.152735,1,69.297253
-10576.373588,1,69.366111
-8644.667533,1,69.44486
-2959.204003,1,69.517664
-4175.482232,1,69.584525
-2023.805522,1,69.667266
-5664.611655,1,69.778968
-6427.355298,1,69.874711
-2975.346864,1,69.970455
-4064.528962,1,70.052237
-7084.249953,1,70.132024
-665.653818,1,70.235751
-1927.924141,1,70.368392
-6171.018496,1,70.48508
-2367.844859,1,70.580822
-1219.458075,1,70.672581
-8076.340619,1,70.76533
-1957.249337,1,70.879025
-6628.834506,1,70.974806
-45.166052,1,71.057549
-20077.807056,1,71.142324
-1133.943064,1,71.212135
-3291.739799,1,71.274968
-4365.489506,1,71.336838
-3665.967375,1,71.394646
-4603.668087,1,71.45748
-4130.5915,1,71.52031
-120.057322,1,71.578155
-1071.708407,1,71.636001
-6715.761762,1,71.70083
-2604.141274,1,71.76765
-4236.952883,1,71.835503
-12322.521964,1,71.904284
-14114.282216,1,71.972104
-7842.139686,1,72.034975
-1364.466544,1,72.091782
-3332.328949,1,72.148664
-10574.134225,1,72.205479
-2792.828975,1,72.268329
-1953.468423,1,72.329148
-10975.620221,1,72.401956
-3164.220821,1,72.465785
-9298.922985,1,72.526621
-5786.201344,1,72.585468
-8385.513572,1,72.649327
-7515.730181,1,72.730078
-151.735381,1,72.811861
-17.937017,1,72.940513
